,prop_address,prop_desc,prop_img,prop_mls,prop_price
0,"Rock Springs, WY 82901"," This Location could be used for almost anything, close to Hospital, Residential, Great possibilities ",http://www.century21.com/listhub/thumb/130x90/photos.listhub.net/FCBRWY/20156419/1?lm=20151103T230938,20156419,"$725,000"
1,"Rock Springs, WY 82901"," Beautiful new construction located on a corner lot near parks & Family Rec Center. Get in early to be able to pick features. 4 bedrooms, 4 baths, 3 car garage, finished basement w/ built in media room, 2 fireplaces. Built in projector, surround sound, receivers & specially painted screen wall …Read More",http://www.century21.com/c21/photo/320x240/i.c21.com/236i96/tzb458q90brdmetfv72wmznb15i96,20152130,"$452,900"
2,"Rock Springs, WY 82901"," First Built in 2009 and upgraded this year. Here it is 5/bedroom or 4/bedroom & a office, 3 full baths, Family Room & Down Stairs Bath has Heated floors, Newer Carpet Throughout, New Hardwood Floors, newer landscaping & Fence, Freshly Painted, Security System, Spinkler System, New Furnace …Read More",http://www.century21.com/listhub/thumb/130x90/photos.listhub.net/FCBRWY/20156389/1?lm=20151103T230935,20156389,"$396,900"
3,"Rock Springs, WY 82901"," Beautiful Custom built home on large corner lot. Home has nice open floor plan, Gorgeous kitchen w/ beautiful cabinets, granite counter-tops, hardwood floors. Property has 2 master suites, one up, one down. One features a gas fireplace between bedroom and master bath. Living room …Read More",http://i.coldwellbanker.com/236i82/9dgcy5ej670qmryxm2j05tnwj1i82,20160119,"$389,900"
4,"Rock Springs, WY 82901", Bi-level home in established neighborhood. ,http://i.coldwellbanker.com/236i82/3s63nf79kh57m5aejc2vyqj0s7i82,20155008,"$254,000"
5,"Rock Springs, WY 82901"," Open Concept 4 bedroom, 2 Full Bath home offers plenty of space, both inside and out. Oversized back yard with firepit on a corner lot with RV parking make this a must see.Call, Text, or Email: Terri Marlin, Coldwell Banker Sweetwater Realty, 307-871-7912, …Read More",http://i.coldwellbanker.com/236i82/p4pvvnb04mh4m7awqh87n9fnp3i82,20160028,"$252,900"
6,"Rock Springs, WY 82901"," Located in cul-de-sac, no back neighbors, home does need some TLC. Large home with 3 bedrooms and 2 full baths on the upper level. The main level has living and dining room combo, the large family room ahs gas fireplace and is next to the kitchen. The basement has 2 non conforming …Read More",http://i.coldwellbanker.com/236i82/17c0akaw496hm4y9ssht84gr87i82,20156320,"$210,000"
7,"Rock Springs, WY 82901"," Very nice tri level, all new windows, flooring, doors, furnace and hot water heater, roof in 2014. This 3 bedroom (1 has no closet) 1 3/4 bath home has large deck off patio door. All kitchen appliance stay. Great corner lot. ",http://i.coldwellbanker.com/236i82/0bvc8h87ms3d4weh9yyqm23vm2i82,20155756,"$209,000"
8,"Rock Springs, WY 82901"," Remodeled home, new stove, dishwasher, microwave, new carpet and flooring,kitchen cabinets have been refinished. New vanities, sinks and fixtures in both bathrooms with a new shower in downstairs bath. This is a must see home. ",http://i.coldwellbanker.com/236i82/w7ba40gghs6ymda7hs9gdwv116i82,20156880,"$199,900"
9,"Rock Springs, WY 82901"," Located 55 miles from Rock Springs along WY-191 South, near Dutch John Utah, this property makes for peaceful rural living and would be excellent for a recreation home. A very well maintained 3 bedroom 2 bath modular home on 2 acres within 15 minutes of Flaming Gorge/Antelope Flats …Read More",http://www.century21.com/c21/photo/320x240/i.c21.com/236i96/8n8ntj056vch4rp5960bkcgvp5i96,20156365,"$196,900"
10,"Rocksprings, TX 78880"," Partners Ranch, a unique 603+/-Acre hunting/recreational ranch with 4BR/2B main lodge located in SE Edwards County. The Ranch encompasses 4 adjacent tracts that will be sold as a single parcel. Owner financing will be considered with 1/3 cash down payment. Tract #4(ID40190)has …Read More",http://www.century21.com/listhub/thumb/130x90/photos.listhub.net/KMLSTX/81415/0?lm=20130613T185338,81415,"$1,700,000"
11,"Rocksprings, TX 78880"," Scentral Edwards County. 4/2 2000sqft lodge w/high vaulted ceilings, beautiful hard wood floors, granite counter tops, fireplace, central heat/ac. Plenty of room for family & guests. Spacious front decks w/breath taking views of the Texas hill country. 8x20 storage container. 5blinds.5corn feeders.1 protein …Read More",http://www.century21.com/listhub/thumb/130x90/photos.listhub.net/KMLSTX/85217/0?lm=20140903T232309,85217,"$1,100,000"
12,"Rocksprings, TX 78880", This ranch is exceptional with all the white-tail deer and exotics. It is high fenced with a nice large gate at entry. Located on Hwy.41 about 20 miles from Garven Store. The ranch has an easement road that runs along side of the property. It does have roads on property with a pond that keeps water even …Read More,http://www.century21.com/listhub/thumb/130x90/photos.listhub.net/KMLSTX/86198/0?lm=20150305T232410,86198,"$1,080,000"
13,"Rocksprings, TX 78880"," Headquarters Pasture - Partners Ranch, a unique 263.34 acre hunting and recreational property with lodge located in SE Edwards County. It is turn-key and ready to go! The 4BR/2B 2560 SF lodge will be sold furnished as shown with few exceptions. Excluded is all wall decor and personal memorabilia. …Read More",http://www.century21.com/listhub/thumb/130x90/photos.listhub.net/KMLSTX/85642/0?lm=20141020T232856,85642,"$908,350"
